"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","SYMBOL","ENTREZID"
"Atp5j",2760.23571044941,0.157916512244185,0.0665073108167058,2.22406394767401,0.0261441420945079,0.0900250495288813,"Atp5j","11957"
"Cntd1",377.712683213639,-0.157894425003443,0.202829944689053,-0.729154786440296,0.465906984820618,0.690630199644146,"Cntd1","68107"
"A630052C17Rik",70.4420951081966,0.157812469395546,0.341117733170031,0.433318045420606,0.664783730143542,0.840344952816235,"A630052C17Rik","320757"
"Susd1.1",6458.33197899875,0.157698464999562,0.0766731651520435,1.92633843544446,0.0540621291792665,0.157069333585799,"Susd1","634731"
"Ski",4429.71114033757,0.157696385320531,0.091057634079962,1.62200991507018,0.104801225167483,0.255924219701188,"Ski","20481"
"Yipf5",1782.83549487115,0.157675613518749,0.0992922631632341,1.48728217903518,0.136940299252354,0.31027639326123,"Yipf5","67180"
"Glo1.ps",14.7269656820778,0.157657217581017,0.561240733592317,0.263090700199025,0.792480671696663,0.920792790509309,"Glo1","109801"
"Eng",2686.73898478004,0.157654423886092,0.334343162621928,0.441625372949703,0.658760320203496,0.835888011020763,"Eng","13805"
"Gm9821",1578.95128178025,0.157564489261977,0.16950495774696,0.870561494031715,0.383993628925179,0.615374405328813,"Gm9821","100310873"
"Pgpep1",800.953888637342,0.157544923553367,0.129627511294533,1.13822229617695,0.255027670814416,0.477256869534555,"Pgpep1","66522"
"Gm10123",3383.29998120198,0.157477076036906,0.093759818910403,1.5729240707881,0.115736400734958,0.274692529593693,"Gm10123","19034"
"Crlf2",1935.46459742934,-0.157432479896212,0.113736372739528,-1.29626500604035,0.194884200341975,0.397849384287538,"Crlf2","57914"
"Eif3c",15112.2220659092,0.15740415893418,0.0937554644674818,1.57221938765293,0.115899680650979,0.274955619656708,"Eif3c","56347"
"Kansl1l",472.321258406825,-0.157386826478867,0.121973505150648,-1.20835116033463,0.226912217429277,0.441608376632666,"Kansl1l","68691"
